Data,Descrizione,Fonte,Denominazione,Ente,Documento,Note
03/06/14,Centro ricerche ed alta formazione creaf srl Anticipazione finanziaria accertamento interessi attivi su anticipazione e penali al 30/06/2014,https://albopretorio.provincia.prato.it/visualizza-dettagli.php?id_albo=201402008,Albo Pretorio,Provincia di Prato,https://archive.org/details/2014060318403Principale/,
10/6/14,Tutte le deleghe della giunta comunale,http://comunicati.comune.prato.it/generali/?action=dettaglio&comunicato=14201400000778,Comunicati Stampa,Comune di Prato,,
09/07/14,Direzione Generale: Contributo regionale per avvio PST: Accertamento e contestuale impegno di spesa a favore della societ partecipata CreAF srl.,https://albopretorio.provincia.prato.it/visualizza-dettagli.php?id_albo=201402548,Albo Pretorio,Provincia di Prato,https://archive.org/details/2014070923633Principale,
20/10/14,Centro Ricerche ed Alta Formazione Creaf srl Anticipazione Finanziaria Accertamento interessi attivi su anticipazione e penali al 30/09/2014,https://albopretorio.provincia.prato.it/visualizza-dettagli.php?id_albo=201403751,Albo Pretorio,Provincia di Prato,https://archive.org/details/2014102034403Principale/,
22/11/14,Società partecipate – anno 2014,https://trasparenza.provincia.prato.it/wp-content/uploads/2014/11/CREAF-SRL-2014.pdf,Amministrazione Trasparente,Provincia di Prato,https://archive.org/details/CREAF-SRL-2014.pdf,
25/11/14,Costituzione del centro di ricerca italo-cinese di cui alla DGR 1258/2011. Approvazione del progetto esecutivo e prenotazione di spesa.Delibera n. 1138 del 17/12/2012 - Allegato: A-progetto esecutivo:... I consorziati fondatori sono: • CREAF- quota pari al 50% ... Ltd • CREAF Il membri del Comitato Direttivo verranno nominati con durata di 4 anni. ...                  Tipo pubblicazione: Atto soggetto a pubblicazione integrale (PBURT/BD),http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2014DG00000001337,Atti della Giunta Regionale,Regione Toscana,,
9/12/14,Centro Ricerche ed Alta Formazione Creaf srl Anticipazione finanziaria Accertamento Interessi attivi su anticipazione e penali al 31/12/2014,https://albopretorio.provincia.prato.it/visualizza-dettagli.php?id_albo=201404438,Albo Pretorio,Provincia di Prato,https://archive.org/details/2014120940813Principale,
24/12/14,"Servizi di supporto per start-up, attrazione, innovazione e trasferimento   tecnologico rivolti alle imprese: affidamento in house alla societ CreAF srl. Approvazione schema di contratto e impegno di spesa.",https://albopretorio.provincia.prato.it/visualizza-dettagli.php?id_albo=201404837,Albo Pretorio,Provincia di Prato,https://archive.org/details/2014122444503Principale,
29/12/14,Direzione Generale: Societa\' partecipata CreAF srl. Cofinanziamento FIPRO. Impegno di spesa.,https://albopretorio.provincia.prato.it/visualizza-dettagli.php?id_albo=201404865,Albo Pretorio,Provincia di Prato,https://archive.org/details/2014122944753Principale,
18/02/15,Contratto di servizio con la societa partecipata CreAF srl. Liquidazione prima tranche.,https://albopretorio.provincia.prato.it/visualizza-dettagli.php?id_albo=201500540,Albo Pretorio,Provincia di Prato,https://archive.org/details/1243530157472,
18/02/15,Societa' partecipata CreAF srl Intervento 2010_PO_30_FIPRO2 Centro Ricerche. Nomina del Responsabile Unico del Procedimento,https://albopretorio.provincia.prato.it/visualizza-dettagli.php?id_albo=201500585,Albo Pretorio,Provincia di Prato,https://archive.org/details/14249627292015021825140,
20/03/15,Centro Ricerca ed Alta Formazione Creaf srl Anticipazione finanziaria Accertamento interessi attivi su anticipazione e penali al 31/03/20015,https://albopretorio.provincia.prato.it/visualizza-dettagli.php?id_albo=201500929,Albo Pretorio,Provincia di Prato,https://archive.org/details/1243530161488,
23/3/15,Asm Servizi e Consiag servizi si fondono in un'unica società: il Comune mette ordine nella galassia delle partecipate,http://comunicati.comune.prato.it/generali/?action=dettaglio&comunicato=14201500000446,Comunicati Stampa,Comune di Prato,,
4/5/15,Rapporto generale di monitoraggio strategico 2014. Approvazione.Decisione n. 6 del 04/05/2015 - Allegato: A - RAPPORTO DI MONITORAGGIO:... Azione 1.2.5.5 Svolgimento di un programma di attività concordato con Creaf srl nell'ambito del Centro di ricerca italo-cinese. ...                  Tipo pubblicazione: Atto soggetto a pubblicazione su Banca Dati (PBD),http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2015DG00000000649,Atti della Giunta Regionale,Regione Toscana,,
24/06/15,Centro Ricerche ed Alta Formazione Creaf srl Anticipazione Finanziaria Accertamento interessi attivi su anticipazione e penali al 30/06/2015,https://albopretorio.provincia.prato.it/visualizza-dettagli.php?id_albo=201502115,Albo Pretorio,Provincia di Prato,https://archive.org/details/1243530173455,
6/7/15,Semaforo verde per il Bilancio di previsione 2015,http://comunicati.comune.prato.it/generali/?action=dettaglio&comunicato=14201500000890,Comunicati Stampa,Comune di Prato,,
24/07/15,Contratto di servizio con la societa partecipata CreAF srl. Liquidazione acconto seconda tranche.,https://albopretorio.provincia.prato.it/visualizza-dettagli.php?id_albo=201502493,Albo Pretorio,Provincia di Prato,https://archive.org/download/CREAF/1243530177758.pdf,
28/7/15,Rapporto generale di monitoraggio strategico 2014. Approvazione.Decisione n. 6 del 04/05/2015 - Allegato: A - RAPPORTO DI MONITORAGGIO:... Azione 1.2.5.5 Svolgimento di un programma di attività concordato con Creaf srl nell'ambito del Centro di ricerca italo-cinese. ...                  Tipo pubblicazione: Atto soggetto a pubblicazione su Banca Dati (PBD),http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2015DG00000000955,Atti della Giunta Regionale,Regione Toscana,,
6/8/15,Il Pin cresce: la ricerca verso tre milioni di ricavi a fine 2015,http://comunicati.comune.prato.it/generali/?action=dettaglio&comunicato=14201500001051,Comunicati Stampa,Comune di Prato,,
1/9/15,Rapporto generale di monitoraggio strategico 2014. Approvazione.Decisione n. 6 del 04/05/2015 - Allegato: A - RAPPORTO DI MONITORAGGIO:... Azione 1.2.5.5 Svolgimento di un programma di attività concordato con Creaf srl nell'ambito del Centro di ricerca italo-cinese. ...                  Tipo pubblicazione: Atto soggetto a pubblicazione su Banca Dati (PBD),http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2015DG00000001037,Atti della Giunta Regionale,Regione Toscana,,
28/09/15,Centro ricerche ed Alta formazione creaf srl Anticipazione finanziaria Accertamento interessi attivi su anticipazione e penali al 30/09/2015,https://albopretorio.provincia.prato.it/visualizza-dettagli.php?id_albo=201502981,Albo Pretorio,Provincia di Prato,https://archive.org/download/CREAF/1243530182956.pdf,
27/10/15,Procedura di gara del Creaf srl avente ad oggetto l\'affidamento della concessione per la gestione unitaria dellimmobile e realizzazione di un parco scientifico e tecnologico (PST). Individuazione di due componenti esperti per la Commissione giudicatrice. Autorizzazione.,https://albopretorio.provincia.prato.it/visualizza-dettagli.php?id_albo=201503352,Albo Pretorio,Provincia di Prato,https://archive.org/download/CREAF/1243530186872.pdf,
4/12/15,Contratto di servizio con la societa' partecipata CreAF srl. Liquidazione saldo seconda terza tranche.,https://albopretorio.provincia.prato.it/visualizza-dettagli.php?id_albo=201503978,Albo Pretorio,Provincia di Prato,https://archive.org/details/1243530194741.pdf,
15/12/15,Centro Ricerche ed Alta Formazione Creaf srl Anticipazione Finanziaria Accertamento Interessi attivi su anticipazione e penali al 31/12/2015,https://albopretorio.provincia.prato.it/visualizza-dettagli.php?id_albo=201503936,Albo Pretorio,Provincia di Prato,https://archive.org/details/1243530193881.pdf,
22/02/16,Società partecipate – anno 2015,https://trasparenza.provincia.prato.it/wp-content/uploads/2016/02/CREAF-SRL_2015.pdf,Amministrazione Trasparente,Provincia di Prato,https://archive.org/details/CREAF-SRL_2015.pdf,
23/02/16,Contratto di servizio con la societ partecipata CreAF srl. Liquidazione  a saldo della prestazione.,https://albopretorio.provincia.prato.it/visualizza-dettagli.php?id_albo=201600498,Albo Pretorio,Provincia di Prato,https://archive.org/details/1243530201606.pdf,
22/03/16,"Ricorso al Tar Toscana CITEP/PROVINCIA DI PRATO, CREAF  Conferimento incarico difesa in giudizio Avv.  Mauro Giovannelli Studio legale Giovannelli e Associati",https://albopretorio.provincia.prato.it/visualizza-dettagli.php?id_albo=201600552,Albo Pretorio,Provincia di Prato,https://archive.org/details/1243530201957.pdf,
12/04/16,Centro Ricerche ed Alta Formazione Creaf srl Anticipazione finanziaria Accertamento interessi attivi su anticipazione e penali al 31/03/2016,https://albopretorio.provincia.prato.it/visualizza-dettagli.php?id_albo=201600645,Albo Pretorio,Provincia di Prato,https://archive.org/details/1243530202817.pdf,
13/05/16,"Servizio Affari Legali  Ricorso al Tar Toscana CITEP/PROVINCIA DI PRATO, CREAF  Liquidazione acconto a favore dell\'Avv.  Mauro Giovannelli Studio legale Giovannelli e Associati",https://albopretorio.provincia.prato.it/visualizza-dettagli.php?id_albo=201600875,Albo Pretorio,Provincia di Prato,https://archive.org/details/1243530205540.pdf,
30/5/16,Rapporto generale di monitoraggio strategico 2014. Approvazione.Decisione n. 6 del 04/05/2015 - Allegato: A - RAPPORTO DI MONITORAGGIO:... Azione 1.2.5.5 Svolgimento di un programma di attività concordato con Creaf srl nell'ambito del Centro di ricerca italo-cinese. ...                  Tipo pubblicazione: Atto soggetto a pubblicazione su Banca Dati (PBD),http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2016DG00000000535,Atti della Giunta Regionale,Regione Toscana,,
27/6/16,Rapporto generale di monitoraggio strategico 2014. Approvazione.Decisione n. 6 del 04/05/2015 - Allegato: A - RAPPORTO DI MONITORAGGIO:... Azione 1.2.5.5 Svolgimento di un programma di attività concordato con Creaf srl nell'ambito del Centro di ricerca italo-cinese. ...                  Tipo pubblicazione: Atto soggetto a pubblicazione su Banca Dati (PBD),http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2016DG00000000825,Atti della Giunta Regionale,Regione Toscana,,
06/07/16,Centro Ricerche ed Alta Formazione Creaf srl Anticipazione Finanziaria Accertamento interessi attivi su anticipazione e penali al 30/06/2016,https://albopretorio.provincia.prato.it/visualizza-dettagli.php?id_albo=201601207,Albo Pretorio,Provincia di Prato,https://archive.org/details/1243530208895.pdf,
09/08/16,"Servizio Affari Legali  Ricorso al Tar Toscana CITEP/PROVINCIA DI PRATO, CREAF  Liquidazione saldo a favore dell\'Avv.  Mauro Giovannelli Studio legale Giovannelli e Associati.",https://albopretorio.provincia.prato.it/visualizza-dettagli.php?id_albo=201601334,Albo Pretorio,Provincia di Prato,https://archive.org/details/1243530210751.pdf,
15/9/16,"Creaf, i gruppi Pd, M5S e FI hanno ritirato le mozioni",http://comunicati.comune.prato.it/generali/?action=dettaglio&comunicato=14201600001250,Comunicati Stampa,Comune di Prato,,
15/9/16,"Creaf, il sindaco Biffoni relaziona al consiglio comunale",http://comunicati.comune.prato.it/generali/?action=dettaglio&comunicato=14201600001248,Comunicati Stampa,Comune di Prato,,
13/10/16,Centro Ricerche ed Alta formazione Creaf srl Anticipazione finanziaria Accertamento Interessi attivi su anticipazione e penali al 30/09/2016,https://albopretorio.provincia.prato.it/visualizza-dettagli.php?id_albo=201601582,Albo Pretorio,Provincia di Prato,https://archive.org/details/1243530214120.pdf,
21/10/16,Società partecipate – anno 2016,https://trasparenza.provincia.prato.it/wp-content/uploads/2016/10/CREAF_2016.pdf,Amministrazione Trasparente,Provincia di Prato,https://archive.org/details/CREAF_2016.pdf,
2/12/16,Centro ricerche ed alta formazione Creaf srl Anticipazione finanziaria Accertamento interessi attivi su anticipazione e penali al 31/12/2016,https://albopretorio.provincia.prato.it/visualizza-dettagli.php?id_albo=201601990,Albo Pretorio,Provincia di Prato,https://archive.org/details/1243530219152.pdf,
2/3/17,"Creaf, il sindaco Biffoni interviene in Consiglio comunale",http://comunicati.comune.prato.it/generali/?action=dettaglio&comunicato=14201700000284,Comunicati Stampa,Comune di Prato,,
21/03/17,Centro ricerche ed alta formazione Creaf srl Anticipazione finanziaria Accertamento interessi attivi su anticipazione e penali dal 01/01/2017 al 21/02/2017 (data dichiarazione fallimento 22/02/2017),https://albopretorio.provincia.prato.it/visualizza-dettagli.php?id_albo=201700382,Albo Pretorio,Provincia di Prato,https://archive.org/details/1243530227452.pdf,
3/4/17,Rapporto generale di monitoraggio strategico 2014. Approvazione.Decisione n. 6 del 04/05/2015 - Allegato: A - RAPPORTO DI MONITORAGGIO:... Azione 1.2.5.5 Svolgimento di un programma di attività concordato con Creaf srl nell'ambito del Centro di ricerca italo-cinese. ...                  Tipo pubblicazione: Atto soggetto a pubblicazione su Banca Dati (PBD),http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2017DG00000000391,Atti della Giunta Regionale,Regione Toscana,,
18/4/17,Rapporto generale di monitoraggio strategico 2014. Approvazione.Decisione n. 6 del 04/05/2015 - Allegato: A - RAPPORTO DI MONITORAGGIO:... Azione 1.2.5.5 Svolgimento di un programma di attività concordato con Creaf srl nell'ambito del Centro di ricerca italo-cinese. ...                  Tipo pubblicazione: Atto soggetto a pubblicazione su Banca Dati (PBD),http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2017DG00000000498,Atti della Giunta Regionale,Regione Toscana,,
2/5/17,Rapporto generale di monitoraggio strategico 2014. Approvazione.Decisione n. 6 del 04/05/2015 - Allegato: A - RAPPORTO DI MONITORAGGIO:... Azione 1.2.5.5 Svolgimento di un programma di attività concordato con Creaf srl nell'ambito del Centro di ricerca italo-cinese. ...                  Tipo pubblicazione: Atto soggetto a pubblicazione su Banca Dati (PBD),http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2017DG00000000555,Atti della Giunta Regionale,Regione Toscana,,
5/6/17,Bilancio di Previsione finanziario 2017 - 2019. Prima variazioneProposta di legge n. 24 del 05/06/2017 - Allegato: G - RELAZIONE ILLUSTRATIVA:... risoluzione della procedura concorsuale del Centro Ricerche per l'Alta Formazione (CReAF) nell'ambito del Programma 01 ...                  Tipo pubblicazione: Atto soggetto a pubblicazione su Banca Dati (PBD),http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2017DG00000000756,Atti della Giunta Regionale,Regione Toscana,,
5/6/17,Bilancio di Previsione finanziario 2017 - 2019. Prima variazioneProposta di legge n. 24 del 05/06/2017 - Allegato: G - RELAZIONE ILLUSTRATIVA:... risoluzione della procedura concorsuale del Centro Ricerche per l'Alta Formazione (CReAF) nell'ambito del Programma 01 ...                  Tipo pubblicazione: Atto soggetto a pubblicazione su Banca Dati (PBD),http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2017DG00000000760,Atti della Giunta Regionale,Regione Toscana,,
7/8/17,Bilancio di Previsione finanziario 2017 - 2019. Prima variazioneProposta di legge n. 24 del 05/06/2017 - Allegato: G - RELAZIONE ILLUSTRATIVA:... risoluzione della procedura concorsuale del Centro Ricerche per l'Alta Formazione (CReAF) nell'ambito del Programma 01 ...                  Tipo pubblicazione: Atto soggetto a pubblicazione su Banca Dati (PBD),http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2017DG00000001070,Atti della Giunta Regionale,Regione Toscana,,
15/9/17,Rinviato a data da destinarsi il consiglio comunale straordinario su Creaf,http://comunicati.comune.prato.it/generali/?action=dettaglio&comunicato=14201700001177,Comunicati Stampa,Comune di Prato,,
30/10/17,Società partecipate – anno 2017,https://trasparenza.provincia.prato.it/wp-content/uploads/2017/10/CREAF_2017.pdf,Amministrazione Trasparente,Provincia di Prato,https://archive.org/details/CREAF_2017.pdf,
13/11/17,Bilancio di Previsione finanziario 2017 - 2019. Prima variazioneProposta di legge n. 24 del 05/06/2017 - Allegato: G - RELAZIONE ILLUSTRATIVA:... risoluzione della procedura concorsuale del Centro Ricerche per l'Alta Formazione (CReAF) nell'ambito del Programma 01 ...                  Tipo pubblicazione: Atto soggetto a pubblicazione su Banca Dati (PBD),http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2017DG00000001482,Atti della Giunta Regionale,Regione Toscana,,
20/11/17,"Nota di aggiornamento al DEFR 2018. ApprovazioneProposta di deliberazione al C.R. n. 41 del 20/11/2017 - Allegato: 1B - alleg 1b report di monitoraggio:Allegato 1b REGIONE TOSCANA GIUNTA REGIONALE RAPPORTO GENERALE DI MONITORAGGIO STRATEGICO 2017 (LR 1/2015, art. ...                  Tipo pubblicazione: Atto soggetto a pubblicazione su Banca Dati (PBD)      ",http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2017DG00000001521,Atti della Giunta Regionale,Regione Toscana,,
11/12/17,"Nota di aggiornamento al DEFR 2018. ApprovazioneProposta di deliberazione al C.R. n. 41 del 20/11/2017 - Allegato: 1B - alleg 1b report di monitoraggio:Allegato 1b REGIONE TOSCANA GIUNTA REGIONALE RAPPORTO GENERALE DI MONITORAGGIO STRATEGICO 2017 (LR 1/2015, art. ...                  Tipo pubblicazione: Atto soggetto a pubblicazione su Banca Dati (PBD)      ",http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2017DG00000001683,Atti della Giunta Regionale,Regione Toscana,,
8/1/18,"Nota di aggiornamento al DEFR 2018. ApprovazioneProposta di deliberazione al C.R. n. 41 del 20/11/2017 - Allegato: 1B - alleg 1b report di monitoraggio:Allegato 1b REGIONE TOSCANA GIUNTA REGIONALE RAPPORTO GENERALE DI MONITORAGGIO STRATEGICO 2017 (LR 1/2015, art. ...                  Tipo pubblicazione: Atto soggetto a pubblicazione su Banca Dati (PBD)      ",http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2018DG00000001835,Atti della Giunta Regionale,Regione Toscana,,
9/4/18,"Nota di aggiornamento al DEFR 2018. ApprovazioneProposta di deliberazione al C.R. n. 41 del 20/11/2017 - Allegato: 1B - alleg 1b report di monitoraggio:Allegato 1b REGIONE TOSCANA GIUNTA REGIONALE RAPPORTO GENERALE DI MONITORAGGIO STRATEGICO 2017 (LR 1/2015, art. ...                  Tipo pubblicazione: Atto soggetto a pubblicazione su Banca Dati (PBD)      ",http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2018DG00000000476,Atti della Giunta Regionale,Regione Toscana,,
24/4/18,"Nota di aggiornamento al DEFR 2018. ApprovazioneProposta di deliberazione al C.R. n. 41 del 20/11/2017 - Allegato: 1B - alleg 1b report di monitoraggio:Allegato 1b REGIONE TOSCANA GIUNTA REGIONALE RAPPORTO GENERALE DI MONITORAGGIO STRATEGICO 2017 (LR 1/2015, art. ...                  Tipo pubblicazione: Atto soggetto a pubblicazione su Banca Dati (PBD)      ",http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2018DG00000000526,Atti della Giunta Regionale,Regione Toscana,,